type,value,source,context,description
ipv4,213.32.252.221,VirusTotal,,From VirusTotal API
ipv4,124.168.91.178,VirusTotal,,From VirusTotal API
ipv4,194.126.178.8,VirusTotal,,From VirusTotal API
ipv4,159.196.128.120,VirusTotal,,From VirusTotal API
ipv4,192.162.174.94,VirusTotal,,From VirusTotal API
ipv4,207.244.71.84,VirusTotal,,From VirusTotal API
ipv4,31.135.199.145,VirusTotal,,From VirusTotal API
ipv4,79.184.25.198,VirusTotal,,From VirusTotal API
ipv4,91.149.253.204,VirusTotal,,From VirusTotal API
ipv4,103.97.203.29,VirusTotal,,From VirusTotal API
ipv4,162.210.194.2,VirusTotal,,From VirusTotal API
ipv4,31.42.4.138,VirusTotal,,From VirusTotal API
ipv4,79.185.5.142,VirusTotal,,From VirusTotal API
ipv4,91.149.254.75,VirusTotal,,From VirusTotal API
ipv4,209.14.71.127,VirusTotal,,From VirusTotal API
ipv4,46.112.70.252,VirusTotal,,From VirusTotal API
ipv4,83.10.46.174,VirusTotal,,From VirusTotal API
ipv4,91.149.255.122,VirusTotal,,From VirusTotal API
ipv4,109.95.151.207,VirusTotal,,From VirusTotal API
ipv4,46.248.185.236,VirusTotal,,From VirusTotal API
ipv4,83.168.66.145,VirusTotal,,From VirusTotal API
ipv4,91.149.255.19,VirusTotal,,From VirusTotal API
ipv4,64.176.67.117,VirusTotal,,From VirusTotal API
ipv4,83.168.78.27,VirusTotal,,From VirusTotal API
ipv4,91.149.255.195,VirusTotal,,From VirusTotal API
ipv4,64.176.69.196,VirusTotal,,From VirusTotal API
ipv4,83.168.78.31,VirusTotal,,From VirusTotal API
ipv4,91.221.88.76,VirusTotal,,From VirusTotal API
ipv4,64.176.70.18,VirusTotal,,From VirusTotal API
ipv4,83.168.78.55,VirusTotal,,From VirusTotal API
ipv4,93.105.185.139,VirusTotal,,From VirusTotal API
ipv4,64.176.70.238,VirusTotal,,From VirusTotal API
ipv4,83.23.130.49,VirusTotal,,From VirusTotal API
ipv4,95.215.76.209,VirusTotal,,From VirusTotal API
ipv4,64.176.71.201,VirusTotal,,From VirusTotal API
ipv4,83.29.138.115,VirusTotal,,From VirusTotal API
ipv4,138.199.59.43,VirusTotal,,From VirusTotal API
ipv4,70.34.242.220,VirusTotal,,From VirusTotal API
ipv4,89.64.70.69,VirusTotal,,From VirusTotal API
ipv4,147.135.209.245,VirusTotal,,From VirusTotal API
ipv4,70.34.243.226,VirusTotal,,From VirusTotal API
ipv4,90.156.4.204,VirusTotal,,From VirusTotal API
ipv4,178.235.191.182,VirusTotal,,From VirusTotal API
ipv4,70.34.244.100,VirusTotal,,From VirusTotal API
ipv4,91.149.202.215,VirusTotal,,From VirusTotal API
ipv4,178.37.97.243,VirusTotal,,From VirusTotal API
ipv4,70.34.245.215,VirusTotal,,From VirusTotal API
ipv4,91.149.203.73,VirusTotal,,From VirusTotal API
ipv4,185.234.235.69,VirusTotal,,From VirusTotal API
ipv4,70.34.252.168,VirusTotal,,From VirusTotal API
ipv4,91.149.219.158,VirusTotal,,From VirusTotal API
ipv4,192.162.174.67,VirusTotal,,From VirusTotal API
ipv4,70.34.252.186,VirusTotal,,From VirusTotal API
ipv4,91.149.219.23,VirusTotal,,From VirusTotal API
ipv4,194.187.180.20,VirusTotal,,From VirusTotal API
ipv4,70.34.252.222,VirusTotal,,From VirusTotal API
ipv4,91.149.223.130,VirusTotal,,From VirusTotal API
ipv4,212.127.78.170,VirusTotal,,From VirusTotal API
ipv4,70.34.253.13,VirusTotal,,From VirusTotal API
ipv4,91.149.253.118,VirusTotal,,From VirusTotal API
ipv4,213.134.184.167,VirusTotal,,From VirusTotal API
ipv4,70.34.253.247,VirusTotal,,From VirusTotal API
ipv4,91.149.253.198,VirusTotal,,From VirusTotal API
ipv4,70.34.254.245,VirusTotal,,From VirusTotal API
ipv4,91.149.253.20,VirusTotal,,From VirusTotal API
domain,webhook.site,VirusTotal,Reputation: ,From VirusTotal API
domain,mockbin.org,VirusTotal,Reputation: ,From VirusTotal API
domain,portugalmail.pt,VirusTotal,Reputation: ,From VirusTotal API
domain,mail-online.dk,VirusTotal,Reputation: ,From VirusTotal API
domain,email.cz,VirusTotal,Reputation: ,From VirusTotal API
domain,seznam.cz,VirusTotal,Reputation: ,From VirusTotal API
email,md-shoeb@alfathdoor.com.sa,N/A,,From CTI Report
email,jayam@wizzsolutions.com,N/A,,From CTI Report
email,accounts@regencyservice.in,N/A,,From CTI Report
email,m.salim@tsc-me.com,N/A,,From CTI Report
email,vikram.anand@4ginfosource.com,N/A,,From CTI Report
email,mdelafuente@ukwwfze.com,N/A,,From CTI Report
email,sarah@cosmicgold469.co.za,N/A,,From CTI Report
email,franch1.lanka@bplanka.com,N/A,,From CTI Report
email,commerical@vanadrink.com,N/A,,From CTI Report
email,maint@goldenloaduae.com,N/A,,From CTI Report
email,karina@bhpcapital.com,N/A,,From CTI Report
email,tv@coastalareabank.com,N/A,,From CTI Report
email,ashoke.kumar@hbclife.in,N/A,,From CTI Report
cve,CVE-2023-23397,N/A,,From CTI Report
cve,CVE-2020-12641,N/A,,From CTI Report
cve,CVE-2020-35730,N/A,,From CTI Report
cve,CVE-2021-44026,N/A,,From CTI Report
cve,CVE-2023-38831,N/A,,From CTI Report
url,"{'url': 'https://aka.ms/CVE-2023-23397ScriptDoc', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://github.com/Neo23x0/signature-base/blob/master/yara/gen_impacket_tools.yar', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://blogs.microsoft.com/on-the-issues/2022/06/22/defending-ukraine-early-lessons-from-the-cyber-war/', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://media.defense.gov/2024/Feb/27/2003400753/-1/-1/0/CSA-Russian-Actors-Use-Routers-Facilitate-Cyber_Operations.PDF', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://media.defense.gov/2021/Jul/01/2002753896/-1/-1/0/CSA_GRU_GLOBAL_BRUTE_FORCE_CAMPAIGN_UOO158036-21.PDF', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://cert.ssi.gouv.fr/cti/CERTFR-2023-CTI-009/', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://cert.ssi.gouv.fr/cti/CERTFR-2025-CTI-007/', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://www.wojsko-polskie.pl/woc/articles/aktualnosci-w/detecting-malicious-activity-against-microsoft-exchange-servers/', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://securityintelligence.com/x-force/itg05-ops-leverage-israel-hamas-conflict-lures-to-deliver-headlace-malware/', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://cert.gov.ua/article/6276894', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://media.defense.gov/2021/Feb/25/2002588479/-1/-1/0/CSI_EMBRACING_ZT_SECURITY_MODEL_UOO115131-21.PDF', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://media.defense.gov/2022/Jun/22/2003021689/-1/-1/0/CSI_KEEPING_POWERSHELL_SECURITY_MEASURES_TO_USE_AND_EMBRACE_20220622.PDF', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://pages.nist.gov/800-63-3/sp800-63b.html', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
url,"{'url': 'https://media.defense.gov/2024/Jul/31/2003515137/-1/-1/0/MULTIFACTOR_AUTHENTICATION_SOLUTIONS_UOO17091520.PDF', 'virustotal': {'error': {'code': 'NotFoundError', 'message': 'Resource not found.'}}}",N/A,,From CTI Report
